Timestamp,Fake_USD,Fake_BTC,Net_Worth
04:22:30,27423.35,1.0,101839.36
04:22:36,27423.35,1.0,101834.85
04:22:41,27423.35,1.0,101874.24
04:22:46,27423.35,1.0,101871.3
04:22:51,27423.35,1.0,101906.01
04:22:56,27423.35,1.0,101901.98
04:23:01,27423.35,1.0,101903.36
04:23:07,27423.35,1.0,101922.92
04:23:12,27423.35,1.0,101898.34
04:23:17,101898.17,0.0,101898.17
04:23:22,101898.17,0.0,101898.17
04:23:27,27404.28,1.0,101889.94
04:23:32,27404.28,1.0,101929.51
04:23:37,27404.28,1.0,101921.34
04:23:43,27404.28,1.0,101986.28
04:23:48,27404.28,1.0,101991.33
04:23:54,27404.28,1.0,101976.24
04:23:59,27404.28,1.0,101994.31
04:24:04,27404.28,1.0,101960.47
04:24:09,101962.41,0.0,101962.41
04:24:14,101962.41,0.0,101962.41
04:24:19,101962.41,0.0,101962.41
04:24:24,101962.41,0.0,101962.41
04:24:30,27364.86,1.0,101993.82
04:24:35,27364.86,1.0,102053.45
04:24:40,27364.86,1.0,102012.44
04:24:45,27364.86,1.0,102076.91
04:24:50,27364.86,1.0,102082.87
04:24:55,27364.86,1.0,102038.86
04:25:00,102032.35,0.0,102032.35
04:25:05,102032.35,0.0,102032.35
04:25:12,27319.86,1.0,102025.2
04:25:17,27319.86,1.0,102071.27
04:25:22,27319.86,1.0,102015.32
04:25:27,101988.19,0.0,101988.19
04:25:32,101988.19,0.0,101988.19
04:25:38,27249.48,1.0,101987.53
04:25:43,27249.48,1.0,101987.48
04:25:49,27249.48,1.0,101969.03
04:25:54,27249.48,1.0,101950.27
04:25:59,101940.59,0.0,101940.59
04:26:04,101940.59,0.0,101940.59
04:26:09,27205.7,1.0,101943.71
04:26:15,27205.7,1.0,101933.08
04:26:20,27205.7,1.0,101938.08
04:26:25,101919.46,0.0,101919.46
04:26:30,101919.46,0.0,101919.46
04:26:35,101919.46,0.0,101919.46
04:26:40,101919.46,0.0,101919.46
04:26:45,101919.46,0.0,101919.46
04:26:51,101919.46,0.0,101919.46
04:26:56,27236.92,1.0,101909.93
04:27:01,27236.92,1.0,101932.94
04:27:06,101896.34,0.0,101896.34
04:27:11,101896.34,0.0,101896.34
04:27:17,101896.34,0.0,101896.34
04:27:22,27217.44,1.0,101896.16
04:27:27,27217.44,1.0,101915.45
04:27:32,27217.44,1.0,101904.78
04:27:37,101882.06,0.0,101882.06
04:27:43,101882.06,0.0,101882.06
04:27:48,101882.06,0.0,101882.06
04:27:53,101882.06,0.0,101882.06
04:27:58,27223.65,1.0,101905.98
04:28:03,27223.65,1.0,101891.45
04:28:08,27223.65,1.0,101952.61
04:28:13,27223.65,1.0,101947.63
04:28:19,27223.65,1.0,101945.24
04:28:24,27223.65,1.0,101939.12
04:28:29,27223.65,1.0,101921.78
04:28:34,101925.36,0.0,101925.36
04:28:39,101925.36,0.0,101925.36
04:28:45,101925.36,0.0,101925.36
04:28:50,101925.36,0.0,101925.36
04:28:56,101925.36,0.0,101925.36
04:29:01,101925.36,0.0,101925.36
04:29:06,101925.36,0.0,101925.36
04:29:12,101925.36,0.0,101925.36
04:29:17,27269.22,1.0,101941.22
04:29:22,27269.22,1.0,101935.42
04:29:28,27269.22,1.0,101919.64
